date,temperature_2m,relative_humidity_2m,wind_speed_10m
2025-12-13 05:00:00+00:00,11.075,79.0,4.6938252
2025-12-13 06:00:00+00:00,9.924999,88.0,4.6938252
2025-12-13 07:00:00+00:00,9.525,88.0,5.0528407
2025-12-13 08:00:00+00:00,9.224999,88.0,5.3999996
2025-12-13 09:00:00+00:00,8.875,89.0,5.771239
2025-12-13 10:00:00+00:00,8.575,88.0,5.8048253
2025-12-13 11:00:00+00:00,8.325,87.0,6.2145634
2025-12-13 12:00:00+00:00,9.575,82.0,6.130579
2025-12-13 13:00:00+00:00,12.125,75.0,5.8048253
2025-12-13 14:00:00+00:00,14.224999,68.0,7.5942073
2025-12-13 15:00:00+00:00,16.074999,58.0,9.779817
2025-12-13 16:00:00+00:00,17.025,52.0,13.53236
2025-12-13 17:00:00+00:00,18.074999,49.0,13.18308
2025-12-13 18:00:00+00:00,18.775,48.0,11.592894
2025-12-13 19:00:00+00:00,19.175,46.0,10.464797
2025-12-13 20:00:00+00:00,18.525,49.0,8.942214
2025-12-13 21:00:00+00:00,18.025,52.0,6.725354
2025-12-13 22:00:00+00:00,16.625,61.0,5.8603754
2025-12-13 23:00:00+00:00,15.275,69.0,3.219938
2025-12-14 00:00:00+00:00,13.875,81.0,3.396233
2025-12-14 01:00:00+00:00,13.174999,86.0,1.835647
2025-12-14 02:00:00+00:00,12.625,86.0,1.0182338
2025-12-14 03:00:00+00:00,11.974999,87.0,1.8
2025-12-14 04:00:00+00:00,10.974999,91.0,2.52
2025-12-14 05:00:00+00:00,10.075,94.0,2.9024127
2025-12-14 06:00:00+00:00,9.575,96.0,3.9763298
2025-12-14 07:00:00+00:00,9.224999,96.0,4.68
2025-12-14 08:00:00+00:00,8.924999,95.0,4.6938252
2025-12-14 09:00:00+00:00,8.625,95.0,5.04
2025-12-14 10:00:00+00:00,8.325,95.0,5.771239
2025-12-14 11:00:00+00:00,8.174999,94.0,5.8048253
2025-12-14 12:00:00+00:00,9.474999,88.0,6.130579
2025-12-14 13:00:00+00:00,12.174999,77.0,7.208994
2025-12-14 14:00:00+00:00,14.375,69.0,8.4042845
2025-12-14 15:00:00+00:00,15.875,60.0,11.770403
2025-12-14 16:00:00+00:00,16.925,54.0,11.592894
2025-12-14 17:00:00+00:00,17.925,50.0,8.913181
2025-12-14 18:00:00+00:00,18.975,47.0,7.10031
2025-12-14 19:00:00+00:00,19.225,47.0,6.162207
2025-12-14 20:00:00+00:00,18.375,54.0,8.714677
2025-12-14 21:00:00+00:00,16.725,68.0,11.183201
2025-12-14 22:00:00+00:00,14.474999,88.0,11.966954
2025-12-14 23:00:00+00:00,13.174999,91.0,10.105681
2025-12-15 00:00:00+00:00,12.724999,90.0,6.519877
2025-12-15 01:00:00+00:00,12.474999,90.0,4.510787
