date,temperature_2m,relative_humidity_2m,wind_speed_10m
2025-12-13 05:00:00+00:00,17.553001,89.0,1.2979984
2025-12-13 06:00:00+00:00,17.453001,90.0,1.484318
2025-12-13 07:00:00+00:00,17.153,92.0,2.16
2025-12-13 08:00:00+00:00,16.953001,94.0,2.1897945
2025-12-13 09:00:00+00:00,16.853,94.0,2.6208394
2025-12-13 10:00:00+00:00,16.803001,94.0,2.5959969
2025-12-13 11:00:00+00:00,16.753,94.0,2.0991426
2025-12-13 12:00:00+00:00,17.003,93.0,1.609969
2025-12-13 13:00:00+00:00,17.553001,90.0,2.8116899
2025-12-13 14:00:00+00:00,18.853,82.0,5.3999996
2025-12-13 15:00:00+00:00,20.303001,74.0,6.3690495
2025-12-13 16:00:00+00:00,21.353,69.0,5.904439
2025-12-13 17:00:00+00:00,22.503,64.0,6.638072
2025-12-13 18:00:00+00:00,23.003,62.0,8.557102
2025-12-13 19:00:00+00:00,22.253,66.0,11.165805
2025-12-13 20:00:00+00:00,21.203001,72.0,15.072783
2025-12-13 21:00:00+00:00,21.053001,70.0,16.323528
2025-12-13 22:00:00+00:00,20.303001,72.0,16.055355
2025-12-13 23:00:00+00:00,19.403,73.0,14.799459
2025-12-14 00:00:00+00:00,18.903,75.0,13.830749
2025-12-14 01:00:00+00:00,18.753,75.0,12.387348
2025-12-14 02:00:00+00:00,18.553001,77.0,9.0
2025-12-14 03:00:00+00:00,18.253,80.0,6.8777895
2025-12-14 04:00:00+00:00,17.953001,83.0,5.6002855
2025-12-14 05:00:00+00:00,17.703001,85.0,4.3349743
2025-12-14 06:00:00+00:00,17.603,86.0,4.8433046
2025-12-14 07:00:00+00:00,17.503,87.0,3.8268526
2025-12-14 08:00:00+00:00,17.403,88.0,3.319036
2025-12-14 09:00:00+00:00,17.303001,89.0,2.5455842
2025-12-14 10:00:00+00:00,17.053001,91.0,1.8
2025-12-14 11:00:00+00:00,16.903,92.0,3.563818
2025-12-14 12:00:00+00:00,17.103,91.0,3.563818
2025-12-14 13:00:00+00:00,17.903,87.0,3.7585104
2025-12-14 14:00:00+00:00,19.003,81.0,4.829907
2025-12-14 15:00:00+00:00,20.453001,73.0,5.8048253
2025-12-14 16:00:00+00:00,21.003,71.0,6.489992
2025-12-14 17:00:00+00:00,21.653,68.0,7.2
2025-12-14 18:00:00+00:00,22.053001,67.0,9.904906
2025-12-14 19:00:00+00:00,22.103,68.0,11.91812
2025-12-14 20:00:00+00:00,21.953001,67.0,13.551501
2025-12-14 21:00:00+00:00,21.403,68.0,14.773164
2025-12-14 22:00:00+00:00,20.503,71.0,15.03835
2025-12-14 23:00:00+00:00,19.503,74.0,14.773164
2025-12-15 00:00:00+00:00,19.003,76.0,14.529915
2025-12-15 01:00:00+00:00,18.853,76.0,12.738099
2025-12-15 02:00:00+00:00,18.703001,77.0,10.195057
2025-12-15 03:00:00+00:00,18.453001,79.0,8.14587
2025-12-15 04:00:00+00:00,18.253,80.0,5.6233797
2025-12-15 05:00:00+00:00,17.953001,82.0,4.3349743
2025-12-15 06:00:00+00:00,17.703001,84.0,4.072935
2025-12-15 07:00:00+00:00,17.453001,86.0,2.0991426
2025-12-15 08:00:00+00:00,17.153,89.0,1.835647
2025-12-15 09:00:00+00:00,16.803001,92.0,2.5455842
2025-12-15 10:00:00+00:00,16.653,92.0,3.319036
2025-12-15 11:00:00+00:00,16.703001,92.0,3.563818
2025-12-15 12:00:00+00:00,16.903,92.0,3.319036
2025-12-15 13:00:00+00:00,17.803001,89.0,3.2399998
2025-12-15 14:00:00+00:00,19.053001,81.0,4.2136917
2025-12-15 15:00:00+00:00,20.503,73.0,5.1919937
2025-12-15 16:00:00+00:00,21.603,67.0,6.489992
2025-12-15 17:00:00+00:00,22.153,65.0,7.928178
2025-12-15 18:00:00+00:00,22.453001,64.0,9.346143
2025-12-15 19:00:00+00:00,21.903,68.0,12.783802
2025-12-15 20:00:00+00:00,21.603,69.0,14.291592
2025-12-15 21:00:00+00:00,21.303001,68.0,14.773164
2025-12-15 22:00:00+00:00,20.553001,71.0,13.783817
2025-12-15 23:00:00+00:00,19.453001,75.0,13.246826
2025-12-16 00:00:00+00:00,18.753,79.0,12.496718
2025-12-16 01:00:00+00:00,18.603,79.0,10.691453
2025-12-16 02:00:00+00:00,18.353,81.0,9.449572
2025-12-16 03:00:00+00:00,18.253,81.0,7.6367526
2025-12-16 04:00:00+00:00,18.053001,82.0,6.3690495
2025-12-16 05:00:00+00:00,17.853,83.0,4.8433046
2025-12-16 06:00:00+00:00,17.653,85.0,2.3051248
2025-12-16 07:00:00+00:00,17.503,86.0,0.8049845
2025-12-16 08:00:00+00:00,17.303001,87.0,1.1384199
2025-12-16 09:00:00+00:00,17.203001,88.0,1.8
2025-12-16 10:00:00+00:00,17.003,90.0,1.9386592
2025-12-16 11:00:00+00:00,16.903,92.0,1.8
2025-12-16 12:00:00+00:00,17.103,92.0,2.16
2025-12-16 13:00:00+00:00,17.953001,89.0,3.4152596
2025-12-16 14:00:00+00:00,19.203001,84.0,4.829907
2025-12-16 15:00:00+00:00,20.253,79.0,5.692099
2025-12-16 16:00:00+00:00,21.053001,76.0,5.3999996
2025-12-16 17:00:00+00:00,21.703001,73.0,5.0911684
2025-12-16 18:00:00+00:00,22.003,72.0,6.379216
2025-12-16 19:00:00+00:00,21.803001,72.0,8.39657
2025-12-16 20:00:00+00:00,21.253,73.0,11.246759
2025-12-16 21:00:00+00:00,20.653,74.0,12.7279215
2025-12-16 22:00:00+00:00,20.003,76.0,12.475961
2025-12-16 23:00:00+00:00,19.253,79.0,10.703569
2025-12-17 00:00:00+00:00,18.653,81.0,9.178235
2025-12-17 01:00:00+00:00,18.353,82.0,7.928177
2025-12-17 02:00:00+00:00,18.153,82.0,6.696387
2025-12-17 03:00:00+00:00,18.003,83.0,5.692099
2025-12-17 04:00:00+00:00,17.803001,84.0,4.39436
2025-12-17 05:00:00+00:00,17.603,86.0,3.0547013
2025-12-17 06:00:00+00:00,17.403,87.0,2.0991426
2025-12-17 07:00:00+00:00,17.203001,89.0,1.835647
2025-12-17 08:00:00+00:00,17.003,91.0,2.1897945
2025-12-17 09:00:00+00:00,16.853,92.0,2.16
2025-12-17 10:00:00+00:00,16.653,94.0,1.8
2025-12-17 11:00:00+00:00,16.453001,95.0,1.4399999
2025-12-17 12:00:00+00:00,16.653,94.0,1.484318
2025-12-17 13:00:00+00:00,17.453001,90.0,2.3051248
2025-12-17 14:00:00+00:00,18.603,84.0,3.8268526
2025-12-17 15:00:00+00:00,19.703001,79.0,5.0911684
2025-12-17 16:00:00+00:00,20.703001,76.0,5.495161
2025-12-17 17:00:00+00:00,21.603,73.0,6.28713
2025-12-17 18:00:00+00:00,22.103,72.0,7.208994
2025-12-17 19:00:00+00:00,21.903,71.0,9.028754
2025-12-17 20:00:00+00:00,21.253,72.0,11.808878
2025-12-17 21:00:00+00:00,20.553001,73.0,13.493999
2025-12-17 22:00:00+00:00,19.953001,75.0,12.475961
2025-12-17 23:00:00+00:00,19.303001,78.0,9.931042
2025-12-18 00:00:00+00:00,18.753,81.0,7.8954163
2025-12-18 01:00:00+00:00,18.403,83.0,6.3690495
2025-12-18 02:00:00+00:00,18.103,84.0,4.8433046
2025-12-18 03:00:00+00:00,17.903,85.0,3.8268526
2025-12-18 04:00:00+00:00,17.703001,86.0,3.563818
2025-12-18 05:00:00+00:00,17.603,86.0,3.563818
2025-12-18 06:00:00+00:00,17.403,87.0,3.6
2025-12-18 07:00:00+00:00,17.103,89.0,3.219938
2025-12-18 08:00:00+00:00,16.803001,91.0,2.9024127
2025-12-18 09:00:00+00:00,16.603,92.0,2.9024127
2025-12-18 10:00:00+00:00,16.553001,92.0,2.16
2025-12-18 11:00:00+00:00,16.653,92.0,1.8
2025-12-18 12:00:00+00:00,16.903,91.0,1.8
2025-12-18 13:00:00+00:00,17.353,90.0,1.8
2025-12-18 14:00:00+00:00,17.953001,89.0,3.8268526
2025-12-18 15:00:00+00:00,18.653,87.0,5.3517847
2025-12-18 16:00:00+00:00,19.653,83.0,5.154415
2025-12-18 17:00:00+00:00,20.703001,79.0,5.771239
2025-12-18 18:00:00+00:00,21.453001,75.0,7.0911775
2025-12-18 19:00:00+00:00,21.603,73.0,9.085988
2025-12-18 20:00:00+00:00,21.403,71.0,10.97262
2025-12-18 21:00:00+00:00,20.953001,71.0,12.218805
2025-12-18 22:00:00+00:00,20.203001,74.0,12.538134
2025-12-18 23:00:00+00:00,19.303001,78.0,12.181624
2025-12-19 00:00:00+00:00,18.553001,81.0,11.298495
2025-12-19 01:00:00+00:00,18.253,82.0,8.707237
2025-12-19 02:00:00+00:00,18.203001,83.0,5.495161
2025-12-19 03:00:00+00:00,18.103,84.0,3.096837
2025-12-19 04:00:00+00:00,17.853,86.0,2.3051248
2025-12-19 05:00:00+00:00,17.553001,88.0,2.0991426
2025-12-19 06:00:00+00:00,17.303001,90.0,2.4149535
2025-12-19 07:00:00+00:00,17.153,91.0,2.0991426
2025-12-19 08:00:00+00:00,17.053001,91.0,2.3051248
2025-12-19 09:00:00+00:00,16.953001,92.0,2.0364676
2025-12-19 10:00:00+00:00,16.803001,93.0,2.0364676
2025-12-19 11:00:00+00:00,16.703001,95.0,1.5273507
2025-12-19 12:00:00+00:00,16.753,95.0,1.609969
2025-12-19 13:00:00+00:00,17.103,94.0,2.1897945
2025-12-19 14:00:00+00:00,17.703001,92.0,3.5455887
2025-12-19 15:00:00+00:00,18.203001,89.0,4.6800003
2025-12-19 16:00:00+00:00,18.653,86.0,5.4119864
2025-12-19 17:00:00+00:00,19.053001,83.0,6.725354
2025-12-19 18:00:00+00:00,19.353,80.0,8.049845
2025-12-19 19:00:00+00:00,19.453001,79.0,8.707237
2025-12-19 20:00:00+00:00,19.403,78.0,9.085988
