Fecha actualizacion: 2025/09/01 00:01
Estacion,Nombre,Municipio,Barrio,Climatologia mes,Acumulado Mes (mm),Porcentaje Mes
373, Ancon 2 - Pluviometro, Copacabana, NA, 98.2100, 221.742, 225.784
328, Universidad EIA - Envigado - Pluviometro, Envigado, NA, 146.300, 317.754, 217.193
160, Samana - Pluviometro, Samana, NA, 300.580, 647.700, 215.483
51, Represa La Garcia , Bello, NA, 153.390, 319.278, 208.148
74, Edificio Gaspar de Rodas - Bello, Bello, Centro, 116.300, 224.790, 193.285
32, Colegio Presbitero Bernardo Montoya , Copacabana, La Maria, 127.600, 243.078, 190.500
193, Fuente Clara - Pluviometro, Sabaneta, NA, 175.770, 333.502, 189.738
35, I.E Joaquin Vallejo Arbelaez , Medellin, La Ladera, 130.830, 240.454, 183.791
50, Universidad CES (Sabaneta), Sabaneta, Virgen del Carmen, 136.720, 250.952, 183.552
15, Colegio San Lucas , Medellin, San Lucas, 129.210, 235.712, 182.426
227, Sonson - Pluviometro, Sonson, Centro, 195.900, 355.092, 181.262
295, Laguna Quitasol - Pluviometro, Bello, NA, 116.460, 210.820, 181.024
37, Liceo Fernando Velez, Bello, El Carmelo, 121.850, 218.440, 179.270
65, I.E Las Lomitas, Sabaneta, NA, 157.430, 275.336, 174.894
75, Institucion Educativa Rural El Tambo, San Pedro, NA, 117.430, 200.914, 171.093
127, I.E. Manuel Jose Sierra - Sede la Holanda, Girardota, NA, 159.180, 271.272, 170.418
121, I.E Barrio Paris, Bello, Paris, 127.860, 214.630, 167.863
267, Colegio Canadiense - Pluviometro, La Estrella, NA, 144.530, 239.268, 165.549
89, I.E Pedro Nel, Medellin, Florencia, 108.660, 177.546, 163.396
70, Indural Km6 Medellin-Bogota, Copacabana, NA, 125.460, 204.978, 163.381
58, Escuela Luis Javier Garcia Isaza, Caldas, NA, 162.820, 265.430, 163.021
19, Tecnologico Antioquia, Itagui, Las Americas-Zona Industrial No. 1, 143.620, 228.854, 159.347
26, Escuela Rural El Plan, Medellin, NA, 155.360, 246.380, 158.587
64, Ecoparque La Romera, Sabaneta, NA, 179.650, 284.480, 158.352
49, Colegio Latino (Av. Las Palmas), Medellin, NA, 124.420, 196.850, 158.214
56, I.E Inem Jose Felix de Restrepo Sede Santa Catalina , Medellin, El Tesoro, 129.160, 202.946, 157.128
34, I.E La Doctora, Sabaneta, Vegas de la Doctora, 161.970, 252.222, 155.721
88, CUIDA Juan Cojo, Girardota, NA, 137.150, 213.360, 155.567
234, I.E Manuel Jose Caicedo - Pluviometro, Barbosa, Aguas Calientes, 195.170, 302.260, 154.870
266, Himalaya - Pluviometro, La Estrella, NA, 159.820, 243.586, 152.413
