Fecha actualizacion: 2025/06/11 15:31
Estacion,Nombre,Municipio,Barrio,Climatologia mes,Acumulado Mes (mm),Porcentaje Mes
7, Escuela Republica de Cuba, Medellin, La Esperanza, 59.7700, 241.046, 403.289
56, I.E Inem Jose Felix de Restrepo Sede Santa Catalina , Medellin, El Tesoro, 67.5600, 269.494, 398.896
55, I.E Reino de Belgica, Medellin, Maria Cano Carambolas, 62.6600, 241.300, 385.094
248, Vivero EPM Piedras Blancas - Pluviometro, Guarne, NA, 74.0200, 281.940, 380.897
154, Centro de Desarrollo Infantil Pequenos Exploradores, Bello, Santa Rita, 33.0200, 125.730, 380.769
46, I.E La Milagrosa , Medellin, La Milagrosa, 68.9400, 258.067, 374.335
421, CC Viva Envigado - Pluviometro, Envigado, Las Vegas, 92.6300, 346.202, 373.747
24, I.E Republica de Uruguay, Medellin, Alfonso Lopez, 58.1400, 216.408, 372.219
74, Edificio Gaspar de Rodas - Bello, Bello, Centro, 45.5700, 167.640, 367.874
35, I.E Joaquin Vallejo Arbelaez , Medellin, La Ladera, 81.6100, 299.991, 367.591
16, I.E Ramon Munera Lopera, Medellin, El Raizal, 67.4800, 246.126, 364.739
241, Sede Social Picacho Las Vegas, Medellin, Picacho, 64.7700, 235.966, 364.314
242, IE Jesus Maria Valle, Medellin, Picacho, 65.0700, 236.220, 363.024
48, Escuela Rural Santa Angela, Medellin, NA, 64.8500, 230.632, 355.639
15, Colegio San Lucas , Medellin, San Lucas, 95.6000, 336.550, 352.040
81, Bomberos Guayabal, Medellin, Campo Amor, 82.7800, 288.290, 348.260
146, Club del Adulto Mayor - Sabaneta, Sabaneta, Prados de Sabaneta, 103.550, 356.870, 344.635
44, I.E Villa Turbay, Medellin, Villa Turbay, 64.9200, 221.742, 341.562
32, Colegio Presbitero Bernardo Montoya , Copacabana, La Maria, 46.5800, 157.226, 337.540
75, Institucion Educativa Rural El Tambo, San Pedro, NA, 57.6900, 192.786, 334.176
40, I.E Ciro Mendia, Medellin, Moscu No1, 62.7100, 205.232, 327.272
61, Planta de Agua Bocatoma, La Estrella, NA, 104.220, 338.582, 324.872
129, Colegio Divino Salvador, Medellin, Miraflores, 64.4400, 208.026, 322.821
41, Comisaria El Poblado, Medellin, La Florida, 86.9900, 280.670, 322.646
26, Escuela Rural El Plan, Medellin, NA, 80.8100, 260.604, 322.490
211, La Ladera, Medellin, La Ladera, 84.1200, 269.240, 320.067
171, Escombrera Mocatan - Pluviometro, Caldas, NA, 75.8400, 242.062, 319.175
193, Fuente Clara - Pluviometro, Sabaneta, NA, 109.880, 346.710, 315.535
334, Manuel Mejia Vallejo - Pluviometro, Envigado, Loma El Atravesado, 98.8900, 308.102, 311.560
19, Tecnologico Antioquia, Itagui, Las Americas-Zona Industrial No. 1, 101.270, 310.896, 306.997
352, Institucion Educativa La Candelaria - Pluviometro, Medellin, Santo Domingo Savio, 80.9600, 246.888, 304.951
64, Ecoparque La Romera, Sabaneta, NA, 111.580, 338.328, 303.216
71, CEFA, Medellin, Boston, 69.7800, 211.328, 302.849
