Fecha actualizacion: 2025/08/01 00:01
Estacion,Nombre,Municipio,Barrio,Climatologia mes,Acumulado Mes (mm),Porcentaje Mes
165, Santa Rosa de Osos - Pluviometro, Santa Rosa de Osos, Avenida crespo, 210.400, 224.790, 106.839
40, I.E Ciro Mendia, Medellin, Moscu No1, 114.410, 103.632, 90.5795
81, Bomberos Guayabal, Medellin, Campo Amor, 107.950, 92.7100, 85.8824
56, I.E Inem Jose Felix de Restrepo Sede Santa Catalina , Medellin, El Tesoro, 121.120, 87.3760, 72.1400
41, Comisaria El Poblado, Medellin, La Florida, 121.860, 86.8680, 71.2851
168, Santa Rita Guatape - Pluviometro, Alejandria, NA, 367.860, 250.698, 68.1504
323, Acueducto Hatillo - Pluviometro, Barbosa, NA, 258.640, 176.022, 68.0568
33, Santa Maria Goretti, Caldas, La Docena, 134.740, 89.6620, 66.5445
26, Escuela Rural El Plan, Medellin, NA, 121.830, 79.5020, 65.2565
393, Deprimido Terminal del Norte - Pluviometro, Medellin, Caribe, 146.980, 94.4880, 64.2863
61, Planta de Agua Bocatoma, La Estrella, NA, 149.820, 95.5040, 63.7458
54, I.E Juan Maria Cespedes, Medellin, El Nogal - Los Almendros, 123.540, 77.7240, 62.9140
9, Instituto Pedro Justo Berrio, Medellin, Las Mercedes, 113.280, 70.1040, 61.8856
51, Represa La Garcia , Bello, NA, 103.500, 63.2460, 61.1072
127, I.E. Manuel Jose Sierra - Sede la Holanda, Girardota, NA, 159.170, 96.5200, 60.6396
49, Colegio Latino (Av. Las Palmas), Medellin, NA, 110.940, 66.0400, 59.5277
328, Universidad EIA - Envigado - Pluviometro, Envigado, NA, 189.230, 110.490, 58.3893
22, Escuela La Capilla del Rosario , Medellin, Belen Rincon, 115.850, 67.5640, 58.3202
30, Salon Social Barbosa, Barbosa, Centro, 203.740, 118.110, 57.9709
39, I.E Pedro Octavio Amado, Medellin, Altavista, 116.500, 67.3100, 57.7768
234, I.E Manuel Jose Caicedo - Pluviometro, Barbosa, Aguas Calientes, 226.110, 130.302, 57.6277
278, Vereda Potrerito - Pluviometro, Barbosa, NA, 233.000, 133.604, 57.3408
74, Edificio Gaspar de Rodas - Bello, Bello, Centro, 104.230, 59.1820, 56.7802
75, Institucion Educativa Rural El Tambo, San Pedro, NA, 122.460, 68.8340, 56.2094
58, Escuela Luis Javier Garcia Isaza, Caldas, NA, 111.380, 60.4520, 54.2755
53, Colegio Eduardo Santos, Medellin, Eduardo Santos, 116.190, 62.4840, 53.7774
429, Perfilador de Vientos - Pluviometro, Medellin, Belen Las Playas, 161.120, 86.6140, 53.7574
76, I.E. Fontidueno, Bello, Fontidueno, 112.960, 59.6900, 52.8417
31, Colegio Jose Manuel Sierra, Girardota, Calle Bolivar, 118.250, 62.2300, 52.6258
274, Carpinelo Amapolita - Pluviometro, Medellin, Carpinelo, 137.770, 71.6280, 51.9910
10, Escuela Rural El Boqueron, Medellin, NA, 122.930, 63.7540, 51.8620
89, I.E Pedro Nel, Medellin, Florencia, 102.940, 53.0860, 51.5698
11, Escuela Rural Fabio Zuluaga, Medellin, NA, 125.790, 64.7700, 51.4906
66, I.E San Andres (Sede El Socorro), Girardota, NA, 155.380, 79.7560, 51.3296
154, Centro de Desarrollo Infantil Pequenos Exploradores, Bello, Santa Rita, 90.3700, 46.2280, 51.1541
55, I.E Reino de Belgica, Medellin, Maria Cano Carambolas, 116.150, 58.1660, 50.0783
295, Laguna Quitasol - Pluviometro, Bello, NA, 142.340, 70.6120, 49.6080
70, Indural Km6 Medellin-Bogota, Copacabana, NA, 118.550, 58.4200, 49.2788
21, Escuela Rural San Jose de la Montana, Medellin, NA, 131.230, 64.5160, 49.1625
15, Colegio San Lucas , Medellin, San Lucas, 140.070, 68.8340, 49.1426
17, Escuela El Corazon , Medellin, El Corazon, 133.260, 65.2780, 48.9854
5, I.E Santa Elena, Medellin, NA, 170.450, 83.3120, 48.8777
88, CUIDA Juan Cojo, Girardota, NA, 142.090, 68.8340, 48.4439
35, I.E Joaquin Vallejo Arbelaez , Medellin, La Ladera, 116.980, 56.6420, 48.4202
72, Jose Miguel de Restrepo, Copacabana, NA, 134.930, 65.2780, 48.3792
421, CC Viva Envigado - Pluviometro, Envigado, Las Vegas, 159.260, 76.2000, 47.8463
253, Parque 3 Aguas - Pluviometro, Caldas, NA, 181.000, 86.1060, 47.5724
