Fecha actualizacion: 2025/11/01 00:01
Estacion,Nombre,Municipio,Barrio,Climatologia mes,Acumulado Mes (mm),Porcentaje Mes
295, Laguna Quitasol - Pluviometro, Bello, NA, 157.070, 329.184, 209.578
74, Edificio Gaspar de Rodas - Bello, Bello, Centro, 152.680, 313.944, 205.622
437, Paradero Jalisco San Felix - Pluviometro, Bello, NA, 160.870, 314.452, 195.470
121, I.E Barrio Paris, Bello, Paris, 158.500, 308.356, 194.546
168, Santa Rita Guatape - Pluviometro, Alejandria, NA, 389.230, 741.426, 190.485
66, I.E San Andres (Sede El Socorro), Girardota, NA, 174.360, 302.006, 173.208
51, Represa La Garcia , Bello, NA, 204.840, 343.408, 167.647
242, IE Jesus Maria Valle, Medellin, Picacho, 146.100, 240.538, 164.639
89, I.E Pedro Nel, Medellin, Florencia, 157.370, 257.810, 163.824
127, I.E. Manuel Jose Sierra - Sede la Holanda, Girardota, NA, 183.990, 299.720, 162.900
57, Escuela la Clara, Caldas, NA, 256.800, 416.306, 162.113
4, I.E Hector Rogelio Montoya, Medellin, NA, 270.620, 430.530, 159.090
323, Acueducto Hatillo - Pluviometro, Barbosa, NA, 206.150, 320.040, 155.246
420, Pueblo Viejo - Pluviometro, La Estrella, NULL, 217.420, 336.550, 154.793
22, Escuela La Capilla del Rosario , Medellin, Belen Rincon, 189.170, 290.830, 153.740
267, Colegio Canadiense - Pluviometro, La Estrella, NA, 246.080, 372.364, 151.318
451, Heliodora - Pluviometro, Envigado, El Dorado, 242.230, 366.522, 151.312
281, Megacolegio - Pluviometro, Bello, Paris, 181.000, 271.272, 149.874
193, Fuente Clara - Pluviometro, Sabaneta, NA, 238.420, 356.362, 149.468
7, Escuela Republica de Cuba, Medellin, La Esperanza, 156.540, 233.934, 149.440
154, Centro de Desarrollo Infantil Pequenos Exploradores, Bello, Santa Rita, 142.840, 213.360, 149.370
64, Ecoparque La Romera, Sabaneta, NA, 222.870, 332.232, 149.070
21, Escuela Rural San Jose de la Montana, Medellin, NA, 209.370, 310.896, 148.491
50, Universidad CES (Sabaneta), Sabaneta, Virgen del Carmen, 202.730, 299.720, 147.842
15, Colegio San Lucas , Medellin, San Lucas, 206.380, 304.292, 147.443
72, Jose Miguel de Restrepo, Copacabana, NA, 213.420, 313.690, 146.982
70, Indural Km6 Medellin-Bogota, Copacabana, NA, 168.000, 246.888, 146.957
356, Villa Niza - Pluviometro, Medellin, Villa Niza, 146.640, 214.884, 146.538
433, Salada Parte Alta - Pluviometro, Caldas, NA, 288.800, 423.164, 146.525
81, Bomberos Guayabal, Medellin, Campo Amor, 175.570, 256.286, 145.974
88, CUIDA Juan Cojo, Girardota, NA, 188.600, 275.082, 145.855
353, Villa del Socorro - Pluviometro, Medellin, Villa del Socorro, 158.180, 230.124, 145.482
378, Edificio Camacol - Pluviometro, Medellin, Naranjal, 138.600, 201.422, 145.326
274, Carpinelo Amapolita - Pluviometro, Medellin, Carpinelo, 190.400, 275.082, 144.476
58, Escuela Luis Javier Garcia Isaza, Caldas, NA, 272.490, 391.668, 143.737
30, Salon Social Barbosa, Barbosa, Centro, 258.100, 370.554, 143.570
320, Palmitas Potrera - Pluviometro, Medellin, NA, 240.390, 340.868, 141.798
31, Colegio Jose Manuel Sierra, Girardota, Calle Bolivar, 188.730, 265.938, 140.909
234, I.E Manuel Jose Caicedo - Pluviometro, Barbosa, Aguas Calientes, 215.440, 303.022, 140.653
165, Santa Rosa de Osos - Pluviometro, Santa Rosa de Osos, Avenida crespo, 164.630, 231.394, 140.554
266, Himalaya - Pluviometro, La Estrella, NA, 222.810, 312.824, 140.399
393, Deprimido Terminal del Norte - Pluviometro, Medellin, Caribe, 151.570, 212.090, 139.929
32, Colegio Presbitero Bernardo Montoya , Copacabana, La Maria, 189.220, 264.506, 139.788
20, Fundacion Hogares Claret, Medellin, NA, 204.900, 285.496, 139.334
373, Ancon 2 - Pluviometro, Copacabana, NA, 185.860, 257.810, 138.712
241, Sede Social Picacho Las Vegas, Medellin, Picacho, 156.670, 215.900, 137.806
395, La Harenala Santa Maria - Pluviometro, Itagui, Santa Maria No. 1, 182.370, 251.206, 137.745
65, I.E Las Lomitas, Sabaneta, NA, 211.900, 291.846, 137.728
324, E.R Jamundi - Pluviometro, Girardota, NA, 187.450, 258.064, 137.671
421, CC Viva Envigado - Pluviometro, Envigado, Las Vegas, 191.350, 263.398, 137.652
275, Q. La Loca El Cafetal - Pluviometro, Bello, Paris, 187.250, 256.032, 136.733
