Fecha actualizacion: 2025/10/01 00:01
Estacion,Nombre,Municipio,Barrio,Climatologia mes,Acumulado Mes (mm),Porcentaje Mes
32, Colegio Presbitero Bernardo Montoya , Copacabana, La Maria, 133.130, 152.146, 114.284
31, Colegio Jose Manuel Sierra, Girardota, Calle Bolivar, 145.220, 164.338, 113.165
74, Edificio Gaspar de Rodas - Bello, Bello, Centro, 152.430, 171.450, 112.478
75, Institucion Educativa Rural El Tambo, San Pedro, NA, 157.020, 164.084, 104.499
70, Indural Km6 Medellin-Bogota, Copacabana, NA, 143.260, 147.066, 102.657
165, Santa Rosa de Osos - Pluviometro, Santa Rosa de Osos, Avenida crespo, 204.720, 209.042, 102.111
30, Salon Social Barbosa, Barbosa, Centro, 209.310, 197.358, 94.2898
72, Jose Miguel de Restrepo, Copacabana, NA, 169.310, 155.448, 91.8127
65, I.E Las Lomitas, Sabaneta, NA, 181.910, 164.846, 90.6195
324, E.R Jamundi - Pluviometro, Girardota, NA, 191.010, 169.672, 88.8289
278, Vereda Potrerito - Pluviometro, Barbosa, NA, 232.360, 203.200, 87.4505
47, Villa Nueva Sede La Luz, Copacabana, NA, 170.080, 146.304, 86.0207
76, I.E. Fontidueno, Bello, Fontidueno, 155.570, 132.588, 85.2272
373, Ancon 2 - Pluviometro, Copacabana, NA, 189.550, 161.544, 85.2250
66, I.E San Andres (Sede El Socorro), Girardota, NA, 177.820, 149.098, 83.8477
328, Universidad EIA - Envigado - Pluviometro, Envigado, NA, 220.270, 183.896, 83.4866
37, Liceo Fernando Velez, Bello, El Carmelo, 152.550, 125.222, 82.0859
56, I.E Inem Jose Felix de Restrepo Sede Santa Catalina , Medellin, El Tesoro, 163.910, 133.858, 81.6655
58, Escuela Luis Javier Garcia Isaza, Caldas, NA, 202.070, 163.576, 80.9502
356, Villa Niza - Pluviometro, Medellin, Villa Niza, 176.470, 140.716, 79.7393
168, Santa Rita Guatape - Pluviometro, Alejandria, NA, 555.500, 438.658, 78.9663
40, I.E Ciro Mendia, Medellin, Moscu No1, 156.010, 123.190, 78.9629
5, I.E Santa Elena, Medellin, NA, 198.210, 154.432, 77.9133
378, Edificio Camacol - Pluviometro, Medellin, Naranjal, 128.590, 100.076, 77.8256
234, I.E Manuel Jose Caicedo - Pluviometro, Barbosa, Aguas Calientes, 251.160, 194.310, 77.3650
88, CUIDA Juan Cojo, Girardota, NA, 176.720, 136.144, 77.0394
4, I.E Hector Rogelio Montoya, Medellin, NA, 180.400, 138.684, 76.8758
353, Villa del Socorro - Pluviometro, Medellin, Villa del Socorro, 164.170, 125.984, 76.7400
274, Carpinelo Amapolita - Pluviometro, Medellin, Carpinelo, 218.950, 165.862, 75.7534
193, Fuente Clara - Pluviometro, Sabaneta, NA, 231.310, 175.006, 75.6586
49, Colegio Latino (Av. Las Palmas), Medellin, NA, 157.600, 118.364, 75.1041
352, Institucion Educativa La Candelaria - Pluviometro, Medellin, Santo Domingo Savio, 200.340, 149.606, 74.6761
89, I.E Pedro Nel, Medellin, Florencia, 166.450, 124.206, 74.6206
50, Universidad CES (Sabaneta), Sabaneta, Virgen del Carmen, 155.190, 115.316, 74.3063
8, Escuela CEDEPRO, Medellin, NA, 198.930, 147.320, 74.0562
121, I.E Barrio Paris, Bello, Paris, 187.650, 138.684, 73.9057
51, Represa La Garcia , Bello, NA, 175.970, 129.794, 73.7592
26, Escuela Rural El Plan, Medellin, NA, 207.050, 151.892, 73.3601
7, Escuela Republica de Cuba, Medellin, La Esperanza, 157.780, 114.808, 72.7646
19, Tecnologico Antioquia, Itagui, Las Americas-Zona Industrial No. 1, 164.240, 119.380, 72.6863
53, Colegio Eduardo Santos, Medellin, Eduardo Santos, 173.070, 125.730, 72.6469
57, Escuela la Clara, Caldas, NA, 248.700, 179.070, 72.0024
266, Himalaya - Pluviometro, La Estrella, NA, 230.020, 165.608, 71.9972
34, I.E La Doctora, Sabaneta, Vegas de la Doctora, 177.350, 127.000, 71.6098
327, San Jose de Las Vegas - Pluviometro, Retiro, NA, 237.080, 169.418, 71.4603
127, I.E. Manuel Jose Sierra - Sede la Holanda, Girardota, NA, 254.470, 179.832, 70.6692
15, Colegio San Lucas , Medellin, San Lucas, 182.110, 128.270, 70.4354
154, Centro de Desarrollo Infantil Pequenos Exploradores, Bello, Santa Rita, 151.790, 106.680, 70.2813
45, AMVA, Medellin, Calle Nueva, 178.330, 125.222, 70.2193
334, Manuel Mejia Vallejo - Pluviometro, Envigado, Loma El Atravesado, 190.750, 133.858, 70.1746
62, Gimnasio Cantabria, La Estrella, NA, 194.930, 136.398, 69.9728
17, Escuela El Corazon , Medellin, El Corazon, 160.400, 111.760, 69.6758
376, Feria de Ganado - Pluviometro, Medellin, Belalcazar, 190.250, 132.334, 69.5580
146, Club del Adulto Mayor - Sabaneta, Sabaneta, Prados de Sabaneta, 203.570, 140.716, 69.1241
81, Bomberos Guayabal, Medellin, Campo Amor, 161.360, 111.252, 68.9465
54, I.E Juan Maria Cespedes, Medellin, El Nogal - Los Almendros, 177.700, 122.174, 68.7530
437, Paradero Jalisco San Felix - Pluviometro, Bello, NA, 191.690, 130.556, 68.1079
