time,temperatura_c,humedad_porcentaje,precipitacion_mm,velocidad_viento_kmh
2025-11-16 00:00:00,22.7,78,0.0,2.1
2025-11-16 01:00:00,22.7,72,0.0,2.4
2025-11-16 02:00:00,22.5,72,0.0,2.7
2025-11-16 03:00:00,22.2,74,0.0,2.1
2025-11-16 04:00:00,22.2,77,0.0,1.8
2025-11-16 05:00:00,21.9,79,0.0,1.8
2025-11-16 06:00:00,21.6,80,0.0,2.0
2025-11-16 07:00:00,21.8,78,0.0,1.9
2025-11-16 08:00:00,23.2,76,0.0,2.6
2025-11-16 09:00:00,24.3,74,0.0,3.1
2025-11-16 10:00:00,25.2,71,0.0,4.3
2025-11-16 11:00:00,26.4,64,0.0,2.9
2025-11-16 12:00:00,27.7,57,0.0,3.8
2025-11-16 13:00:00,28.6,52,0.0,4.0
2025-11-16 14:00:00,28.6,51,0.0,5.0
2025-11-16 15:00:00,27.6,54,0.1,4.7
2025-11-16 16:00:00,27.0,59,0.1,3.4
2025-11-16 17:00:00,25.8,66,0.3,1.1
2025-11-16 18:00:00,24.5,74,0.3,2.2
2025-11-16 19:00:00,23.8,78,0.0,3.0
2025-11-16 20:00:00,23.5,80,0.0,2.1
2025-11-16 21:00:00,23.3,82,0.0,1.8
2025-11-16 22:00:00,23.2,81,0.0,2.2
2025-11-16 23:00:00,23.0,81,0.0,2.2
2025-11-17 00:00:00,22.6,82,0.0,2.2
2025-11-17 01:00:00,22.4,81,0.0,2.1
2025-11-17 02:00:00,22.2,80,0.0,1.8
2025-11-17 03:00:00,22.1,79,0.0,1.1
2025-11-17 04:00:00,22.1,78,0.0,0.0
2025-11-17 05:00:00,22.0,78,0.0,1.0
2025-11-17 06:00:00,21.9,78,0.0,2.6
2025-11-17 07:00:00,22.2,77,0.0,2.8
2025-11-17 08:00:00,23.4,75,0.0,2.9
2025-11-17 09:00:00,24.4,73,0.0,3.1
2025-11-17 10:00:00,25.4,71,0.0,3.0
2025-11-17 11:00:00,26.4,68,0.0,2.4
2025-11-17 12:00:00,27.6,60,0.0,1.8
2025-11-17 13:00:00,28.3,55,0.0,1.3
2025-11-17 14:00:00,28.6,53,0.0,2.2
2025-11-17 15:00:00,28.7,51,0.0,1.1
2025-11-17 16:00:00,28.3,52,0.0,1.5
2025-11-17 17:00:00,27.6,55,0.0,3.7
2025-11-17 18:00:00,26.1,64,0.1,4.3
2025-11-17 19:00:00,24.8,72,0.3,3.0
2025-11-17 20:00:00,23.6,79,1.4,2.8
2025-11-17 21:00:00,22.8,84,1.5,2.6
2025-11-17 22:00:00,22.4,86,0.8,2.6
2025-11-17 23:00:00,22.2,87,0.0,2.9
2025-11-18 00:00:00,22.0,87,0.0,2.6
2025-11-18 01:00:00,21.7,88,0.0,2.1
2025-11-18 02:00:00,21.4,90,0.0,1.4
2025-11-18 03:00:00,21.3,91,0.0,1.1
2025-11-18 04:00:00,21.3,90,0.0,2.3
2025-11-18 05:00:00,21.1,89,0.0,2.6
2025-11-18 06:00:00,20.9,88,0.0,2.6
2025-11-18 07:00:00,21.6,87,0.0,2.1
2025-11-18 08:00:00,23.4,83,0.0,2.1
2025-11-18 09:00:00,24.5,77,0.0,3.4
2025-11-18 10:00:00,25.2,75,0.0,5.1
2025-11-18 11:00:00,26.3,71,0.0,2.9
2025-11-18 12:00:00,27.6,63,0.0,1.1
2025-11-18 13:00:00,28.4,56,0.0,3.1
2025-11-18 14:00:00,28.4,55,0.0,3.0
2025-11-18 15:00:00,28.1,56,0.0,3.3
2025-11-18 16:00:00,27.7,58,0.0,3.0
2025-11-18 17:00:00,27.0,63,0.0,3.1
2025-11-18 18:00:00,25.9,70,0.1,2.7
2025-11-18 19:00:00,24.7,76,0.6,3.3
2025-11-18 20:00:00,23.9,79,1.7,2.4
2025-11-18 21:00:00,23.0,82,2.2,3.0
2025-11-18 22:00:00,22.3,86,1.5,2.6
2025-11-18 23:00:00,21.7,89,0.6,1.9
2025-11-19 00:00:00,21.5,90,0.1,1.6
2025-11-19 01:00:00,21.4,90,0.0,1.8
2025-11-19 02:00:00,21.5,90,0.0,0.5
2025-11-19 03:00:00,21.5,89,0.1,0.4
2025-11-19 04:00:00,21.5,88,0.3,0.8
2025-11-19 05:00:00,21.3,89,0.2,0.8
